Algorithm,Run,GD,IGD,Delta,HV_Platemo,HV_Rectangles,HV_HSO
moead_linear,1.0000,0.0033,0.1908,0.1908,1.3977,1.3304,0.7812
moead_cheby,1.0000,0.0025,0.1907,0.1907,1.3304,1.3304,0.7812
moead_mod_linear,1.0000,0.0024,0.1915,0.1915,1.3304,1.3304,0.7812
moead_mod_cheby,1.0000,0.0022,0.1907,0.1907,1.3304,1.3304,0.7812
nsga2,1.0000,0.0023,0.1907,0.1907,1.3304,1.3304,0.7812
moead_linear,2.0000,0.0024,0.1907,0.1907,1.3304,1.3304,0.7812
moead_cheby,2.0000,0.0022,0.1907,0.1907,1.3304,1.3304,0.7812
moead_mod_linear,2.0000,0.0022,0.1911,0.1911,1.3302,1.3302,0.7811
moead_mod_cheby,2.0000,0.0021,0.1907,0.1907,1.3304,1.3304,0.7812
nsga2,2.0000,0.0023,0.1907,0.1907,1.3304,1.3304,0.7812
moead_linear,3.0000,0.0101,0.1907,0.1907,2.1204,1.3305,0.7812
moead_cheby,3.0000,0.0024,0.1907,0.1907,1.3304,1.3304,0.7812
moead_mod_linear,3.0000,0.0022,0.1921,0.1921,1.3303,1.3303,0.7811
moead_mod_cheby,3.0000,0.0023,0.1907,0.1907,1.3304,1.3304,0.7812
nsga2,3.0000,0.0023,0.1907,0.1907,1.3303,1.3303,0.7811
moead_linear,4.0000,0.0040,0.1908,0.1908,1.6243,1.3304,0.7812
moead_cheby,4.0000,0.0025,0.1907,0.1907,1.3304,1.3304,0.7812
moead_mod_linear,4.0000,0.0023,0.1911,0.1911,1.3303,1.3303,0.7811
moead_mod_cheby,4.0000,0.0022,0.1907,0.1907,1.3304,1.3304,0.7812
nsga2,4.0000,0.0024,0.1907,0.1907,1.3304,1.3304,0.7812
moead_linear,5.0000,0.0022,0.1907,0.1907,1.3304,1.3304,0.7812
moead_cheby,5.0000,0.0039,0.1908,0.1908,1.4701,1.3304,0.7812
moead_mod_linear,5.0000,0.0022,0.1912,0.1912,1.3303,1.3303,0.7811
moead_mod_cheby,5.0000,0.0023,0.1908,0.1908,1.3302,1.3302,0.7811
nsga2,5.0000,0.0021,0.1907,0.1907,1.3304,1.3304,0.7812
moead_linear,6.0000,0.0035,0.1908,0.1908,1.4291,1.3304,0.7812
moead_cheby,6.0000,0.0048,0.1907,0.1907,1.5857,1.3304,0.7812
moead_mod_linear,6.0000,0.0024,0.1916,0.1916,1.3303,1.3303,0.7811
moead_mod_cheby,6.0000,0.0023,0.1907,0.1907,1.3304,1.3304,0.7812
